modulo,nombre,fuente,url,ruta_local,estado,volumen,por_que_testear_con_este,prioridad,notas
scorecard,HMEQ,creditriskanalytics.net,http://www.creditriskanalytics.net/datasets-private2.html,raw/scorecard/hmeq.csv,descargado,5960 x 13,~20% de missings por diseno y concentrados en las variables mas predictivas; el missing es informativo. Rompe cualquier binning ingenuo e imputacion a la media,2,Corre en un segundo; va en CI
scorecard,Lending Club 2007-2020Q3,Kaggle,https://www.kaggle.com/datasets/ethon0426/lending-club-20072020q1,raw/scorecard/lending_club/,descargado,1.7 GB,Unico de su tamano con fecha de originacion real por prestamo: permite out-of-time honesto. Cruza 2008 y COVID -> valida alertas de PSI/CSI. Trae grade de LC como benchmark comercial,2,Loan_status_2007-2020Q3.gzip + diccionario
scorecard,All Lending Club (accepted + rejected),Kaggle,https://www.kaggle.com/datasets/wordsforthewise/lending-club,raw/scorecard/lending_club_reject/,descargado,3.8 GB,UNICO publico con solicitudes rechazadas. Sin el no se puede probar reject inference ni medir sesgo de seleccion (el modelo solo ve aprobados),1,accepted + rejected 2007-2018Q4
scorecard,SBA National 7(a),Kaggle,https://www.kaggle.com/datasets/mirbektoktogaraev/should-this-loan-be-approved-or-denied,raw/scorecard/sba_national/,descargado,899164 x 27 (1987-2014),PD PyME con garantia estatal parcial: la perdida es saldo menos porcion garantizada -> prueba que el EL respeta mitigantes. 27 anos y 3 recesiones -> estabilidad a traves de ciclos. NAICS -> segmentacion sectorial,3,Incluye el paper original
scorecard,Default of Credit Card Clients (Taiwan),UCI,https://archive.ics.uci.edu/dataset/350/default+of+credit+card+clients,raw/scorecard/taiwan_credit_cards.zip,descargado,30000 x 24,LIMIT_BAL + 6 meses de saldo y pago: el test unitario mas simple de utilizacion de linea y CCF. Se calcula a mano para verificar la formula de EAD revolvente,3,Cabe en memoria
scorecard,German Credit (Statlog),UCI,https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data,raw/scorecard/german_credit.zip,descargado,1000 x 20,Matriz de costos asimetrica oficial 5:1 FN/FP -> prueba que el punto de corte optimiza costo esperado y no accuracy,4,Tiene errores de codificacion documentados
scorecard,South German Credit,UCI,https://archive.ics.uci.edu/dataset/522/south+german+credit,raw/scorecard/south_german_credit.zip,descargado,1000 x 21,Version corregida del German: usarlos juntos prueba reproducibilidad del pipeline frente a un cambio de diccionario de datos,4,
scorecard,Vehicle Loan Default (L&T),Kaggle,https://www.kaggle.com/datasets/mamtadhaker/lt-vehicle-loan-default-prediction,raw/scorecard/vehicle_loan/,descargado,233k,Trae bureau score externo (CIBIL) junto a variables propias -> prueba de incrementalidad y calibracion de dos scores en distinta escala. Mercado emergente: distribuciones mas sucias,4,train + test + diccionario
scorecard,Credit Approval,UCI,https://archive.ics.uci.edu/dataset/27/credit+approval,raw/scorecard/credit_approval.zip,descargado,690,Variables totalmente anonimizadas: prueba de inferencia automatica de tipos sin metadatos,5,
scorecard,Statlog Australian,UCI,https://archive.ics.uci.edu/dataset/143/statlog+australian+credit+approval,raw/scorecard/australian_credit.zip,descargado,690,Igual que Credit Approval: inferencia de tipos,5,
